,Keyword,Term_frequency,TFIDF_score
114,cyber grand challenge,0.0,0.0
115,cybercrime,1193.0,16266.255061174686
116,cybersecurity,2154.0,29370.75509453584
117,data leakage,251.0,3422.2166168890662
118,data privacy,1089.0,14848.716038787648
119,data protection,2650.0,36136.03373358648
120,decryption,4188.0,57113.696939792746
121,denial of service,2093.0,28540.019943894837
122,deobfuscation,0.0,0.0
123,destabilizing pointer perception,0.0,0.0
124,diffie-hellman,410.0,5590.151117917072
125,digital certificate,174.0,2372.3507461038466
126,digital forensic,427.0,5821.880043192658
127,digital signature,1533.0,20902.84815700979
128,disassembly,221.0,3013.1573367479564
129,drive-by download,56.0,763.5104832088117
130,dynamic analysis,1456.0,19853.109501486673
131,eavesdropping,855.0,11657.760233832936
132,encryption,23047.0,314522.89063396904
133,enterprise security,94.0,1281.6093617975728
134,error-handling code,3.0,40.90215668544718
135,ethereum,465.0,6340.020460157764
136,false alarm,1543.0,21039.74571924953
137,false negative,1168.0,15925.593441741352
138,false positive,3472.0,47346.990611672
139,firewall,2379.0,32438.733753603003
140,flash-crowd attack,0.0,0.0
141,formal verification tool,35.0,477.1931708114469
142,fraud,3994.0,54464.33829318687
143,hardware protection mechanism,0.0,0.0
144,hardware-assisted data-flow isolation,0.0,0.0
145,heartbleed,16.0,218.14508503840622
146,information hiding,788.0,10744.264963241832
147,integrity,13174.0,179772.46888533563
148,key exchange,1200.0,16362.132425026863
149,malware,4340.0,59181.12212124621
150,man-in-the-middle attack,329.0,4485.723076963155
151,memory corruption,0.0,0.0
152,network function virtualization,576.0,7853.59931156316
153,network isolation,11.0,149.9746800216829
154,obfuscate,169.0,2304.185825397373
155,oblivious RAM,0.0,0.0
156,oblivious storage ,0.0,0.0
157,one-way hash,84.0,1145.2685445513862
158,openssl,196.0,2672.2977350795472
159,password,10537.0,143714.45815959366
160,password hashing,0.0,0.0
161,patch,9558.0,130373.43749855114
162,phishing,2861.0,39010.708556809586
163,privacy,27316.0,372885.6664734312
164,privacy-preserving,1478.0,20153.144434440863
165,privacy-sensitive,130.0,1772.443622075558
166,private key,716.0,9762.508295276893
167,public key,2725.0,37158.70928857638
168,ransomware,522.0,7117.102297289134
169,reassemblr,0.0,0.0
170,reflection attack,0.0,0.0
171,reverse engineer,578.0,7880.801573507665
172,robust,24585.0,335721.91600858717
173,safe website,0.0,0.0
174,secret key,2244.0,30598.48001315255
175,secret-key cryptography,0.0,0.0
176,security,138766.0,1901362.5959221814
177,shared key,299.0,4076.6748092974085
178,shellphish,0.0,0.0
179,software obfuscation,0.0,0.0
180,software verification,125.0,1704.2734627877876
181,software vulnerability,26.0,354.48607491147214
182,spam,3332.0,45432.68650344997
183,static analysis,1146.0,15625.79803356773
184,symbolic execution,159.0,2167.830507509288
185,symmetric-key cryptography,127.0,1731.5368139131708
186,timing attack,92.0,1254.3388715811045
187,triple-DES,121.0,1649.7355515325205
188,virus,13382.0,182524.47308657915
189,vulnerability,7085.0,96637.32629670412
190,worm,6156.0,83947.7216848869
